row,category,description,source_formula,asphalt_qty,euroshield_qty,option_a_product,option_a_coverage,option_a_waste,option_a_order_formula,option_a_asphalt_order,option_a_euroshield_order,option_a_asphalt_cost,option_a_euroshield_cost
12,materials,GAF Timberline HDZ,Input!C3,3287.000001,3287.000001,GAF Timberline HDZ,3,1.08,"IF(D12<>0,D12,0)*IF(E12<>0,E12,1)*IF(F12<>0,F12,1)*IF(G12<>0,G12,1)*IF(H12<>0,H12,1)/IF(I12<>0,I12,1)",106.4988000324,141.9984000432,4287,15449
13,materials,GAF Weatherblocker Starter Strip,SUM(Input!C25+Input!C26),306,306,GAF Weatherblocker Starter Strip,100,1.1,"IF(D13<>0,D13,0)*IF(E13<>0,E13,1)*IF(F13<>0,F13,1)*IF(G13<>0,G13,1)*IF(H13<>0,H13,1)/IF(I13<>0,I13,1)",3.3660000000000005,11.22,176,0
14,materials,GAF Seal-A-Ridge,SUM(Input!C23),320,320,GAF Seal-A-Ridge,25,1.1,"IF(D14<>0,D14,0)*IF(E14<>0,E14,1)*IF(F14<>0,F14,1)*IF(G14<>0,G14,1)*IF(H14<>0,H14,1)/IF(I14<>0,I14,1)",14.080000000000002,35.2,735,2442
15,materials,Specialty Starter Eave,SUM(Input!C26),259,259,Specialty Starter Eave,1,1.1,,284.90000000000003,8.555555555555557,0,477
16,materials,Specialty Starter Rake,SUM(Input!C25),47,47,Specialty Starter Rake,1,1.1,,51.7,1.5525525525525528,0,87
17,materials,Specialty Starter Valley,SUM(Input!C24)*2,306,306,Specialty Starter Valley,1,1.1,,336.6,8.415000000000001,0,469
18,materials,"Resisto LB1236 36"" ",SUM(Input!C24+Input!C26*E18+Input!C27+(A21*(W21-1))),413,413,"Resisto LB1236 36"" ",65,1.02,"IF(D18<>0,D18,0)*IF(F18<>0,F18,1)*IF(G18<>0,G18,1)*IF(H18<>0,H18,1)/IF(I18<>0,I18,1)",6.480923076923077,6.480923076923077,428,518
19,materials,TriBuilt Synthetic,SUM(A12-(A18*(W25-1))),2874.000001,2874.000001,TriBuilt Synthetic,1000,1.1,"IF(D19<>0,D19,0)*IF(E19<>0,E19,1)*IF(F19<>0,F19,1)*IF(G19<>0,G19,1)*IF(H19<>0,H19,1)/IF(I19<>0,I19,1)",3.1614000011,3.1614000011,229,474
20,materials,"Drip Edge - 26ga - 1.5"" ",SUM(Input!C26),259,259,"Drip Edge - 26ga - 1.5"" ",10,1.15,,29.784999999999997,29.784999999999997,262,262
21,materials,"Rake Edge - 26ga - 1"" ",SUM(Input!C25),47,47,"Rake Edge - 26ga - 1"" ",10,1.15,,5.404999999999999,5.404999999999999,40,40
